municipio_id,municipio_nombre,establecimiento_id,establecimiento_nombre,region_educativa,clave,cueanexo,modalidad,nivel,direccion,telefono,rpv,email,sector,dependencia,tipo_organizacion,area,ambito,desfavorabilidad,subvencion,sede_axo_ext,categoria,depend_func,cui,periodo,matricula,varones,mujeres,secciones,turnos,cue,anexo,nro_escuela,longitud,latitud
6126,Campana,1531,ESCUELA DE ARTE Nº1,Región 11,0015AA0001,60590600,Educación Artística,Ciclo Medio,ARENALES - 912,3489-43-8901,31522,escueladeartedecampana@gmail.com,Estatal,Oficial,ESCUELA DE ARTE,INTERIOR,Urbano,0,Oficial,SEDE,Primera,Dirección de Educación Artística,601500010,Final 2025,65,38,27,3,"INTERMEDIO,MAÑANA,TARDE,VESPERTINO",605906,0,1,-58.95325021053812,-34.17433362353688
6126,Campana,1568,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº1 ""DR. RENÉ FAVALORO""",Región 11,0015MS0001,61172200,Educación Común,Nivel Secundario,SANTIAGO DEL ESTERO - 129,3489-42-0173,31535,secundaria1campana@abc.gob.ar,Estatal,Oficial,ESCUELA DE EDUCACIÓN SECUNDARIA,INTERIOR,Urbano,0,Oficial,SEDE,Segunda,Dirección Provincial de Educación Secundaria,601500567,Final 2025,323,180,143,16,"MAÑANA,TARDE,VESPERTINO",611722,0,1,-58.977230295121146,-34.163697877573725
6126,Campana,1569,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº2 ""LOLA MORA""",Región 11,0015MS0002,61172100,Educación Común,Nivel Secundario,VIAMONTE - 875,3489-43-9373,31501,ees02campana@gmail.com,Estatal,Oficial,ESCUELA DE EDUCACIÓN SECUNDARIA,INTERIOR,Urbano,0,Oficial,SEDE,Primera,Dirección Provincial de Educación Secundaria,601500262,Final 2025,615,328,287,27,"MAÑANA,TARDE,VESPERTINO",611721,0,2,-58.95259036926182,-34.17380343539519
6126,Campana,1570,ESCUELA DE EDUCACIÓN SECUNDARIA Nº3,Región 11,0015MS0003,60581000,Educación Común,Nivel Secundario,VIALE Y BARLETTA - 15,3489-44-4500,,secundaria3campana@abc.gob.ar,Estatal,Oficial,ESCUELA DE EDUCACIÓN SECUNDARIA,INTERIOR,Urbano,0,Oficial,SEDE,Primera,Dirección Provincial de Educación Secundaria,601500579,Final 2025,723,325,398,28,"MAÑANA,TARDE,VESPERTINO",605810,0,3,-58.94380482255912,-34.19289779337213
6126,Campana,1571,CENTRO EDUCATIVO DE NIVEL SECUNDARIO Nº452,Región 11,0015DM0452,60589700,Educación de Jóvenes y Adultos,Nivel Secundario,BERUTTI - 75,3489-59-1584,,cens452campana@abc.gob.ar,Estatal,Oficial,CENTRO EDUCATIVO DE NIVEL SECUNDARIO (C.E.N.S.),INTERIOR,Urbano,0,Oficial,SEDE,Segunda,"Dirección de Educación de Jóvenes, Adultos y Adultos Mayores",601500178,Final 2025,120,50,70,9,VESPERTINO,605897,0,452,-58.964762501114336,-34.15730746986891
6126,Campana,1572,"CENTRO EDUCATIVO DE NIVEL SECUNDARIO Nº451 ""JORGE GERMÁN CALVO""",Región 11,0015DM0451,60589900,Educación de Jóvenes y Adultos,Nivel Secundario,ARENALES - 787,3489-15-50-1356,,cens451campana@gmail.com,Estatal,Oficial,CENTRO EDUCATIVO DE NIVEL SECUNDARIO (C.E.N.S.),INTERIOR,Urbano,0,Oficial,SEDE,Tercera,"Dirección de Educación de Jóvenes, Adultos y Adultos Mayores",601500166,Final 2025,111,48,63,4,VESPERTINO,605899,0,451,-58.95336425940857,-34.17200733705383
6126,Campana,1573,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº6 ""DR. EDUARDO COSTA""",Región 11,0015MS0006,61201500,Educación Común,Nivel Secundario,INT. VARELA - 751,3489-43-9090,,secretariamedia6@gmail.com,Estatal,Oficial,ESCUELA DE EDUCACIÓN SECUNDARIA,INTERIOR,Urbano,0,Oficial,SEDE,Primera,Dirección Provincial de Educación Secundaria,601500289,Final 2025,800,363,437,32,"MAÑANA,TARDE",612015,0,6,-58.96024600710536,-34.17079570929197
6126,Campana,1574,"ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº1 ""LUCIANO REYES""",Región 11,0015MT0001,60582200,Educación Técnico Profesional,Nivel Secundario,INTENDENTE MORO - 1122,3489-42-1142,31502,lucianoreyes.tec1@gmail.com,Estatal,Oficial,ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA,INTERIOR,Urbano,0,Oficial,SEDE,Primera,Dirección Provincial de Educación Técnico Profesional,601500719,Final 2025,1246,850,396,45,"MAÑANA,TARDE,VESPERTINO",605822,0,1,-58.96614115431825,-34.15599018642319
6364,General Rodríguez,3357,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº1 ""COMBATIENTES DE MALVINAS""",Región 10,0044MS0001,61047500,Educación Común,Nivel Secundario,L. M. ALEM E/P. PERÓN Y 9 DE JULIO - 737,237-485-0479,,ees1.gralrodriguez@gmail.com,Estatal,Oficial,ESCUELA DE EDUCACIÓN SECUNDARIA,INTERIOR,Urbano,0,Oficial,SEDE,Primera,Dirección Provincial de Educación Secundaria,604400475,Final 2025,1223,527,696,37,"MAÑANA,TARDE,VESPERTINO",610475,0,1,-58.95558823510859,-34.61520749353073
6364,General Rodríguez,3358,"CENTRO EDUCATIVO NIVEL SECUNDARIO Nº451 ""ALFONSINA STORNI""",Región 10,0044DM0451,60405800,Educación de Jóvenes y Adultos,Nivel Secundario,DR. GARCÍA - 447,237-484-1472,45105,cens451grodriguez@abc.gob.ar,Estatal,Oficial,CENTRO EDUCATIVO DE NIVEL SECUNDARIO (C.E.N.S.),INTERIOR,Urbano,0,Oficial,SEDE,Primera,"Dirección de Educación de Jóvenes, Adultos y Adultos Mayores",604400124,Final 2025,846,396,450,23,"NOCHE,TARDE",604058,0,451,-58.95396247617479,-34.612797180098475
